val,perc,sel_perc
9.57,1.95,2
9.57,3.9,4
9.57,5.84,6
9.57,7.79,8
9.57,9.74,10
9.57,11.69,12
9.57,14.29,14
9.57,16.23,16
9.57,18.18,18
9.57,20.13,20
9.57,22.08,22
9.57,24.03,24
9.57,25.97,26
9.57,27.92,28
9.57,29.87,30
9.57,31.82,32
9.57,33.77,34
9.57,35.71,36
9.57,38.31,38
9.57,40.26,40
9.57,42.21,42
9.57,44.16,44
9.57,46.1,46
9.57,48.05,48
9.57,50,50
9.57,51.95,52
9.57,53.9,54
9.57,55.84,56
9.57,57.79,58
9.57,59.74,60
9.57,61.69,62
9.57,64.29,64
9.57,66.23,66
9.57,68.18,68
9.57,70.13,70
9.57,72.08,72
9.57,74.03,74
9.57,75.97,76
9.57,77.92,78
9.57,79.87,80
9.57,81.82,82
9.57,83.77,84
9.57,85.71,86
9.57,88.31,88
9.56,90.26,90
9.56,92.21,92
9.56,94.16,94
9.56,96.1,96
9.56,98.05,98
9.56,100,100
